题号,题干,A,B,C,D,E,答案,难度,题型
21,海量机器类通信(mMTC)的主要特点是？,高数据速率和低时延,支持海量低成本低能耗设备连接,超可靠低时延通信,极高的覆盖能力,,B,无,单选题
22,5G系统的四个赋能工具不包括以下哪一项？,动态无线接入网络(DyRAN),极简系统控制面板(LSCP),内容本地化和数据流,高级多天线系统,,D,无,单选题
23,xMBB服务中，为了克服高频段路径损耗大的问题，需要采用哪种技术？,载波聚合,波束成形,D2D通信,多连接技术,,B,无,单选题
24,xMBB服务中，最有希望提升频谱利用率的技术是？,载波聚合,高级多天线系统,D2D通信,频谱共享技术,,B,无,单选题
25,5G系统的三个一般服务包括以下哪些？,极限移动宽带(xMBB),海量机器类通信(mMTC),超可靠机器类通信(uMTC),增强型移动宽带(eMBB),,ABC,无,多选题
26,xMBB服务的核心特点包括以下哪些？,极高的数据速率,低时延通信,极端的覆盖能力,支持海量低功耗设备连接,,ABC,无,多选题
27,5G系统的四个赋能工具包括以下哪些？,动态无线接入网络(DyRAN),极简系统控制面板(LSCP),内容本地化和数据流,频谱工具箱,,ABCD,无,多选题
28,xMBB服务中，提升频谱利用率的技术包括以下哪些？,大规模MIMO,多点协同(CoMP),高级多天线系统,极简系统控制面板(LSCP),,ABC,无,多选题
29,5G系统的三个一般服务都采用相同的空中接口。,,,,,,错误,无,判断题
30,mMTC服务中，终端设备需要频繁充电和更换电池以保证通信。,,,,,,错误,无,判断题
31,uMTC服务中，可靠性和低时延优先于对数据速率的要求。,,,,,,正确,无,判断题
32,5G动态无线接入网络(DyRAN)中，为了满足多样化需求，集成了多种元素。以下哪种技术元素主要用于提升广域覆盖和SINR？,超密集网络(UDN),天线波束赋形,设备到设备(D2D)通信,移动中继节点,,B,无,单选题
33,极简的系统控制面(LSCP)的作用不包括以下哪一项？,提供公共系统接入,支持控制面和用户面分离,直接传输用户数据,确保能耗性能,,C,无,单选题
34,在5G的控制面与用户面分离技术中，对于xMBB业务，通常建议采用哪种方式？,控制面和用户面在同一频段发送,控制面在较低频段发送，用户面在较高频段发送,集成控制面和用户面,用户面在D2D链路上传送,,B,无,单选题
35,以下哪种场景适合将应用服务器部署在无线网络边缘？,普通网页浏览,自动车辆控制,电子邮件收发,音乐流媒体,,B,无,单选题
36,5G频谱工具箱中，xMBB业务主要需要哪种频谱资源？,仅低频段(6GHz以下),高频段(厘米波/毫米波)提供容量,仅非授权频谱,固定1MHz带宽,,B,无,单选题
37,移动中继节点的主要作用是？,作为临时接入节点服务车内用户,克服高速移动场景下车窗穿透损耗,提升网络的广域覆盖范围,实现设备到设备的直接通信,,B,无,单选题
38,5G动态无线接入网络(DyRAN)集成的技术元素包括以下哪些？,超密集网络(UDN),天线波束赋形,设备到设备(D2D)通信,移动节点,,ABCD,无,多选题
39,极简的系统控制面(LSCP)支持的功能包括以下哪些？,公共系统接入,特定业务信令,控制面与用户面分离,支持不同频段的无缝操作,,ABCD,无,多选题
40,本地内容和数据流的实现方式包括以下哪些？,终端到终端(D2D)流量分流,服务器部署在无线网络边缘,内容缓存到无线边缘节点,数据全部路由到核心网处理,,ABC,无,多选题
41,5G中，控制面和用户面分离技术仅适用于xMBB业务，不适用于mMTC和uMTC业务。,,,,,,错误,无,判断题
42,设备到设备(D2D)通信只能用于用户面流量的负载分流，不能用于回传。,,,,,,错误,无,判断题
43,5G频谱工具箱中，mMTC业务主要使用6GHz以下的低频段频谱。,,,,,,正确,无,判断题
44,5G的三大基本性能指标不包括以下哪一项？,用户体验速率,连接数密度,时延,基站数量,,D,无,单选题
45,以下哪种技术属于物理层手段以提高频谱效率？,MIMO技术,Polar Codes编码技术,干扰控制技术,频谱重耕,,B,无,单选题
46,5G中提到的时延定义不包括以下哪一项？,单程时延(OTT),往返时延(RTT),传输时延(TD),MAC层时延,,C,无,单选题
47,以下哪项不属于5G的应用趋势？,万物互联,生活云端化,智能交互,固定网络加速,,D,无,单选题
48,以下哪种技术属于频谱重耕的范畴？,白频谱利用,认知无线电,动态频率选择,水平频谱共享,,A,无,单选题
49,5G中提到的用户体验速率是指什么？,控制信令的数据速率,MAC层去除控制信令后的数据速率,物理层的数据速率,应用层的数据速率,,B,无,单选题
50,以下哪种场景属于5G的高可靠低时延应用？,自动车辆控制,媒体点播,广阔区域海量设备,大型室外活动,,A,无,单选题
51,5G的主要性能指标（KPI）包括以下哪些？,可用性,连接密度,能量消耗,基站覆盖范围,,ABC,无,多选题
52,提高5G系统带宽的思路包括以下哪些？,充分利用现有频谱,使用更高的频谱,增加基站发射功率,减少用户数量,,AB,无,多选题
53,5G的应用趋势中的智能交互包括以下哪些场景？,无人驾驶汽车,远程医疗,虚拟现实游戏,智能家居控制,,ABC,无,多选题
54,频谱共享使能工具包括以下哪些？,DFS/DCS检测,地理位置数据库支持,Wi-Fi共享模式,MIMO技术,,ABC,无,多选题
55,5G的单程时延（OTT）是指数据包从发送端到接收端的时间。,,,,,,正确,无,判断题
56,频谱重耕中的白频谱主要来自于模拟电视转换为数字电视后释放的频谱。,,,,,,正确,无,判断题
57,D2D通信需要通过核心网络进行数据交互。,,,,,,错误,无,判断题
58,5G的连接密度是指单位时间内用户的连接次数。,,,,,,错误,无,判断题
59,根据移动通信课程内容，5G系统中用于支持动态垂直共享频谱场景的关键使能工具是？,DFS/DCS检测,地理位置数据库支持,Wi-Fi共享模式,频谱捷变接口设计,,B,无,单选题
60,5G网络中，以下哪项属于提高系统带宽的技术途径？,提高频谱效率,增加站址密度,频谱重耕,MIMO技术,,C,无,单选题
61,5G支持的关键任务物联网连接场景，其核心需求不包括以下哪项？,高可靠性,低时延,低功耗,高带宽,,C,无,单选题
62,LTE接入网的名称是什么？,UTRAN,E-UTRAN,GPRS,EDGE,,B,无,单选题
63,E-UTRAN相比传统UTRAN架构的主要变化是什么？,增加了RNC节点,去除了RNC节点,增加了Node B节点,去除了Node B节点,,B,无,单选题
64,E-UTRAN中eNode B之间的接口是什么？,S1接口,X2接口,Uu接口,Iu接口,,B,无,单选题
65,eNode B与核心网EPC之间的接口是什么？,X2接口,Uu接口,S1接口,Iu接口,,C,无,单选题
66,C-RAN架构中'C'的含义是什么？,Cloud,Centralized,Collaborative,Clean,,B,无,单选题
67,CRAN架构中'云'化的含义是指什么？,虚拟化,云计算,云存储,云服务,,A,无,单选题
68,分布式基站由哪两部分组成？,BBU和RRU,RNC和Node B,eNode B和S-GW,MME和EPC,,A,无,单选题
69,CoMP技术在哪个架构下效果更好？,D-RAN,C-RAN,传统UTRAN,GSM,,B,无,单选题
70,CRAN架构中BBU形成的虚拟基带池的作用是什么？,模糊化小区概念,增加小区数量,减少小区覆盖,固定小区归属,,A,无,单选题
71,eC-RAN架构主要包含哪三部分？,RRU部署、本地云平台、后台云服务器,BBU、RRU、天线,eNode B、MME、S-GW,UE、eNode B、EPC,,A,无,单选题
72,C-RAN架构中RRU与BBU之间通过什么连接？,馈线,前传网络,X2接口,S1接口,,B,无,单选题
73,CRAN的目标是什么？,提供低成本、高性能的绿色网络架构,增加网络复杂度,提高设备成本,减少用户体验,,A,无,单选题
74,E-UTRAN架构的特点包括哪些？,扁平化网络结构,去除RNC节点,eNode B之间通过X2接口连接,支持UE无缝切换,,ABCD,无,多选题
75,C-RAN架构的优势有哪些？,改善环境,下载速度更快,减少视觉影响,降低成本,,ABCD,无,多选题
76,CRAN架构的特点包括哪些？,集中化处理,协作式无线电,实时云计算架构,绿色无线接入网,,ABCD,无,多选题
77,5G接入网的要求包括哪些？,大容量覆盖,高速率低时延,开放平台,低能耗,,ABCD,无,多选题
78,E-UTRAN架构中eNode B之间通过S1接口连接。,,,,,,错误,无,判断题
79,C-RAN架构中BBU集中放置在中心机房，形成基带池。,,,,,,正确,无,判断题
80,CRAN架构中RRU属于某个固定的BBU。,,,,,,错误,无,判断题
81,完全的集中式控制能自适应信道环境的动态变化。,,,,,,错误,无,判断题
82,根据5G业务类型及特点，4K超清业务需要的稳定带宽是多少？,10 Mbit/s,20 Mbit/s,50 Mbit/s,100 Mbit/s,,C,无,单选题
83,虚拟现实业务中，连PC式头盔通常采用哪种方式传输数据？,Wi-Fi,HDMI线缆,蓝牙,5G网络,,B,无,单选题
84,远程手术和诊断应用对5G网络的核心要求是什么？,高速率,低时延和超可靠通信,海量连接,高移动性,,B,无,单选题
85,体育场场景中，网络层面的主要挑战是什么？,高移动性,单位面积的数据流量,低时延,海量连接,,B,无,单选题
86,增强现实业务中，当“真实”现实和增强现实之间的时延超过多少时，用户会产生“晕屏”感？,几秒,几十毫秒,几百毫秒,几秒到几十秒,,B,无,单选题
87,5G技术将为移动视频领域带来的变化不包括以下哪项？,从标清走向高清、超高清,云与端的融合架构成为常态,视频监控完全取代有线监控,视频会议体验更佳,,C,无,单选题
88,以下哪些属于5G在物联网中的应用场景？,智能物流,远程手术,工业设备远程操作,虚拟现实游戏,,AC,无,多选题
89,以下哪些5G用例对时延要求较高？,远程手术,虚拟现实,媒体点播,智能电网远程保护,,ABD,无,多选题
90,媒体点播流量主要是上行数据，上行主要是信令。,,,,,,错误,无,判断题
91,插手机式虚拟现实头盔在5G环境下可采用云端配合架构，头盔仅负责获取用户头部位姿信息和显示视频。,,,,,,正确,无,判断题
92,本地云平台负责管理调度由一定数量的RRU组成的什么？,小区簇(Cell Cluster),基站池,核心网,回程链路,,A,无,单选题
93,H-CRAN中用于抑制RRU间干扰的技术是什么？,同层CC-CoMP,跨层CC-CoMP,大规模多输入多输出,网络自组织,,A,无,单选题
94,下列哪项不是本地云平台缓存模块的功能？,存储流行内容减少冗余流量,预测内容流行度提高命中率,直接处理用户的语音通话业务,相邻平台间共享交换缓存,,C,无,单选题
95,H-CRAN中HPN的主要作用是什么？,处理所有用户的业务数据传输,全网控制信息分发及无缝覆盖,存储流行内容减少核心网压力,实现RRU间的大规模协作信号处理,,B,无,单选题
96,多点协作(CoMP)传输和接收技术的主要目的是什么？,抑制网络干扰,增加基站覆盖范围,提高用户移动速度,减少用户设备功耗,,A,无,单选题
97,基于云计算的网络自组织(CC-SON)技术不包括以下哪项功能？,自配置,自优化,自治愈,手动网络规划,,D,无,单选题
98,5G功能分拆中，完全集中式架构的主要物理限制是什么？,有限适用的回传技术,节点间需要同步,必须有节点间连接,需要众多标准化接口,,A,无,单选题
99,本地云平台感知模块的情景感知不包括以下哪项信息？,用户位置,应用类型,用户偏好,基站位置,,D,无,单选题
100,H-CRAN与传统C-RAN的主要区别是什么？,H-CRAN包含HPN实体可兼容现有网络,H-CRAN不需要BBU池进行信号处理,H-CRAN仅使用RRU进行业务传输,H-CRAN不支持CoMP技术,,A,无,单选题
101,本地云平台的功能实体包括以下哪些？,感知模块,缓存模块,多网络控制和融合实体,基带处理单元,,ABC,无,多选题
102,H-CRAN的关键技术包括以下哪些？,基于云计算的大规模多点协作,大规模集中式多天线协作处理,基于云计算的协作无线资源管理,基于云计算的网络自组织,,ABCD,无,多选题
103,5G功能分拆的主要决定因素包括以下哪些？,网络功能是否需要同步,回传和前传技术的时延带宽限制,集中化的优点评估,网络功能的计算需求多样性,,ABCD,无,多选题
104,本地云平台的缓存模块存储内容越多越好，不需要考虑存储代价和效益的权衡。,,,,,,错误,无,判断题
105,H-CRAN中RRU可以根据业务负载自适应进行休眠或激活，以节约能量消耗。,,,,,,正确,无,判断题
106,多点协作(CoMP)技术在非理想回程场景下性能增益可达50%以上。,,,,,,错误,无,判断题
107,下列哪种分拆方法类似于现有的基于CPRI/ORI接口的功能分拆，具有最高集中化增益但前传代价昂贵？,较低物理层分拆,较高物理层分拆,MAC层集中化,PDCP层集中化,,A,无,单选题
108,在LTE和新空中接口的紧密集成架构中，哪种方案不需要严格的同步，且能支持共址和非共址场景？,公共PHY层,公共MAC层,公共PDCP/RRC层,公共RLC层,,C,无,单选题
109,5G网络逻辑视图由三个功能平面构成，其中负责按需接入、移动性和会话管理的是哪个平面？,接入平面,控制平面,转发平面,管理平面,,B,无,单选题
110,下列哪种RAT协作功能利用LTE发送所有控制信息以简化5G设计？,控制面分集,快速控制面交换,LTE辅助的极简设计,用户面聚合,,C,无,单选题
111,在5G网络功能视图中，以控制功能为核心，向上提供管理编排和网络开放服务的是哪一层？,管理编排层,网络控制层,网络资源层,应用层,,B,无,单选题
112,分拆方法B中，集中化的功能不包括下列哪项？,前向纠错(FEC)编码/解码,小区特定功能,基于用户的网络功能,部分物理层功能,,B,无,单选题
113,下列哪种功能分拆模型中，核心网分组数据直接发送到远程单元，由远程单元决定哪些数据需中心单元处理？,直接流程,前向-后向流程,控制/用户面分拆,MAC层集中化,,B,无,单选题
114,在5G网络平台视图中，实现底层物理资源到虚拟化资源映射的技术是？,SDN,NFV,MIMO,UDN,,B,无,单选题
115,下列哪种RAT协作功能允许在多个空中接口聚合单一数据流，以提升速率和支持无缝移动性？,用户面聚合,快速用户面交换,控制面分集,LTE辅助的极简设计,,A,无,单选题
116,关于5G无线网络功能构成的影响因素，下列哪些属于结构特性的影响？,干扰情况,衰落,移动性,部署限制,,ABD,无,多选题
117,5G网络逻辑视图的三个功能平面包括以下哪些？,接入平面,控制平面,转发平面,应用平面,,ABC,无,多选题
118,下列关于PDCP层功能的描述，正确的有哪些？,控制面功能包括加密/解密和完整性保护,用户面功能包括报头压缩/解压,需要严格的下层同步,支持按序交付和重复检测,,ABD,无,多选题
119,分拆方法C（MAC层集中化）的关键时间集中化处理是必需的，且集中化增益较大。,,,,,,错误,无,判断题
120,公共MAC层的集成可以在共址和非共址场景中使用，且不需要高级别同步。,,,,,,错误,无,判断题
121,5G网络采用模块化功能设计模式，通过功能组件的组合构建专用逻辑网络。,,,,,,正确,无,判断题
122,5G网络中，无线接入网的CU和DU功能属于回传网的哪个层级？,接入级,边缘级,汇聚级,中心级,,A,无,单选题
123,以下哪个是5G网络代表性服务能力？,网络切片,Wi-Fi 6,4G LTE,固定宽带,,A,无,单选题
124,移动边缘计算(MEC)的核心功能不包括以下哪项？,服务和内容,业务链控制,网络辅助功能,核心网控制,,D,无,单选题
125,小基站(Small Cell)在5G中的主要应用不包括以下哪项？,补盲区,提高系统容量,替代宏基站实现广覆盖,改善室内覆盖,,C,无,单选题
126,5G小基站与宏基站相比，以下哪个说法正确？,小基站需要标准化铁塔安装,小基站支持自动开站和自动优化,小基站单扇区成本更高,小基站设备质量更大,,B,无,单选题
127,5G网络切片的主要功能不包括以下哪项？,切片管理,切片选择,端到端逻辑网络构建,核心网物理资源分配,,D,无,单选题
128,以下哪个不是小基站的优点？,集成度高,适应性强,建设快速,覆盖范围大,,D,无,单选题
129,5G核心网DC的部署层级是？,全国,省级,市级,区级,,A,无,单选题
130,MEC网关属于以下哪个功能模块？,边缘DC,核心网DC,回传网,接入网,,A,无,单选题
131,5G网络架构中的数据中心包括以下哪些？,边缘DC,核心网DC-全国,汇聚层DC,接入层DC,,ABC,无,多选题
132,移动边缘计算(MEC)的部署方式包括以下哪些？,集中部署,分布式部署,与用户面设备耦合,独立部署在核心网,,ABC,无,多选题
133,小基站与宏基站的区别包括以下哪些？,安装环境不同,配电方式不同,传输方式不同,网络规划优化方式不同,,ABCD,无,多选题
134,5G网络切片是物理网络的一部分。,,,,,,错误,无,判断题
135,小基站主要用于补盲区，在5G中应用场景仍然狭窄。,,,,,,错误,无,判断题
136,MEC可以将业务平台下沉到网络边缘，降低业务时延。,,,,,,正确,无,判断题
137,5G基站架构中，BBU拆分为哪两部分？,CU和DU,AAU和RRU,CU和AAU,DU和RRU,,A,无,单选题
138,以下哪种小基站主要面向家庭应用场景，覆盖半径小于20m？,微基站,皮基站,飞基站,宏基站,,C,无,单选题
139,小基站增强项目在R12阶段的核心立项由哪个国家的公司主导？,美国,中国,日本,瑞典,,B,无,单选题
140,5G基站架构中，RRU与天线合并后形成的单元是？,CU,DU,AAU,BBU,,C,无,单选题
141,以下哪种小基站主要用于室外补盲或吸热，部署在户外小覆盖范围？,微基站,皮基站,飞基站,宏基站,,A,无,单选题
142,小基站增强项目在R12阶段面临的挑战不包括以下哪项？,Wi-Fi的竞争,3GPP内部标准化内容不统一,频率管制的不确定性,宏基站技术的淘汰,,D,无,单选题
143,CU/DU分离架构中，CU主要处理的协议层不包括以下哪项？,RRC层,PDCP层,MAC层,L3层非实时功能,,C,无,单选题
144,皮基站的典型覆盖面积约为多少？,150m²,2000m²,2800m²,5000m²,,C,无,单选题
145,家庭级小基站解决的主要问题不包括以下哪项？,覆盖差,每用户下载速率低,宏网负荷量高,物业协调难,,D,无,单选题
146,小基站的主要分类包括以下哪些？,微基站（Microcell）,皮基站（Picocell）,飞基站（Femtocell）,宏基站（Macrocell）,,ABC,无,多选题
147,小基站增强项目在R12阶段的亮点包括以下哪些？,核心项目由中国公司主导,项目开展形式与其他项目不同,对3GPP其他立项影响大,项目持续时间短，仅覆盖R12部分阶段,,ABC,无,多选题
148,5G基站CU/DU分离架构的优势包括以下哪些？,集中管理多个站点,降低站间信息交互复杂度,提升资源统筹管理效率,减少基站部署数量,,ABC,无,多选题
149,小基站的发射功率都很低，包括20mW、100mW和500mW等。,,,,,,正确,无,判断题
150,CU/DU分离架构中，DU主要处理对实时性要求不高的协议层。,,,,,,错误,无,判断题
151,小基站增强项目在R12阶段的物理层增强研究项目顺利按计划完成，未出现推迟情况。,,,,,,错误,无,判断题
152,5G网络中CU和DU分离带来的第一个好处是？,实现基带资源的共享,降低网络建设成本,减少传输时延,简化网络架构,,A,无,单选题
153,以下哪种5G业务对时延要求最高？,eMBB,mMTC,uRLLC,以上都是,,C,无,单选题
154,5G初期CU和DU的部署方式是？,物理分离,逻辑分离,完全独立,不分离,,B,无,单选题
155,CPRI接口的主要作用是连接？,BBU和RRU,CU和DU,AAU和CU,核心网和基站,,A,无,单选题
156,eCPRI相比CPRI的主要优势是？,更高的传输速率,更低的传输带宽需求,更远的传输距离,更强的抗干扰能力,,B,无,单选题
157,5G室内覆盖的主要挑战不包括？,建筑物信号屏蔽,室内用户密度高,室外基站容量不足,多系统干扰,,C,无,单选题
158,CU和DU分离的好处包括？,实现基带资源共享,支持网络切片和云化,满足站点协同需求,降低网络建设成本,,ABC,无,多选题
159,5G室内分布系统的施主信源类型有？,宏基站,微蜂窝,直放站,分布式基站,,ABCD,无,多选题
160,eCPRI的技术特点包括？,上移BBU处理层,降低RRU复杂度,减少前传带宽,兼容CPRI接口,,ACD,无,多选题
161,5G初期会立即进行CU和DU的物理分离。,,,,,,错误,无,判断题
162,CPRI接口必须使用光纤传输。,,,,,,错误,无,判断题
163,室内分布系统只能改善信号覆盖，无法提升网络容量。,,,,,,错误,无,判断题
164,传统无源DAS系统的主要缺点不包括以下哪一项？,馈线损耗大,支持多流传输,难以实现完整网管监控,上行覆盖收缩,,B,无,单选题
165,5G室内覆盖中，以下哪个频段的信号穿透混凝土墙壁时损耗最大？,Sub-3GHz,3.5GHz,4.8GHz,毫米波（>20GHz）,,D,无,单选题
166,以下哪种室分系统架构最容易支持5G平滑演进？,无源DAS系统,传统有源DAS系统,新型数字室分系统,以上都不是,,C,无,单选题
167,5G室内数字化网络发展思路中，建议5G时代中后期用于基础覆盖和容量层的频段是？,Sub-3GHz,3.5GHz和4.8GHz,毫米波,700MHz,,B,无,单选题
168,新型数字室分系统的组成部分不包括以下哪一项？,基带处理单元（BBU）,远端CPRI数据汇聚单元,功分器,远端无线单元（pRRU）,,C,无,单选题
169,5G室内网络部署面临的挑战不包括以下哪一项？,高频导致室内深度覆盖不足,传统室分难以轻量化演进,无源器件过多导致运维困难,海量有源头端带来运维挑战,,C,无,单选题
170,新型数字室分系统相对于传统室分系统的优势有哪些？,网络架构简单，无须链路预算,与宏网共网管，设备状态一目了然,解决了上行底噪抬升问题,支持多流传输,,ABCD,无,多选题
171,5G室内覆盖采用3.5GHz频段时，传统无源DAS系统存在的问题有哪些？,馈线传输损耗大,无法利旧，需新建,通道和天线数受限,产品复杂度高,,ABC,无,多选题
172,有源DAS系统的缺点包括以下哪些？,无法纳入统一网络管理系统,抬升系统底噪,扩容升级困难,施工难度大,,AB,无,多选题
173,无源DAS系统可以直接支持5G的4x4 MIMO技术，无需改造。,,,,,,错误,无,判断题
174,5G数字化室分系统升级时，已布放的CAT6A网线可以继续使用。,,,,,,正确,无,判断题
175,毫米波频段（>20GHz）的5G信号可以有效穿透混凝土墙壁，实现室内深度覆盖。,,,,,,错误,无,判断题
176,根据3GPP 38.101协议规定，5G NR的FR1频段频率范围是（）,450 MHz - 6 GHz,24.25 - 52.6 GHz,30 - 300 GHz,24.75 - 27.5 GHz,,A,无,单选题
177,5G数字化室分系统的核心优势不包括以下哪项？（）,端到端有源管控,支持多流传输,低成本部署,自动网络优化,,C,无,单选题
178,毫米波通信中，大气成分对电磁波的共振吸收会影响特定频段，其中氧气共振吸收主要影响的频段是（）,22 GHz和183 GHz,60 GHz和120 GHz,24 GHz和28 GHz,37 GHz和40 GHz,,B,无,单选题
179,5G室内覆盖方案中，传统无源DAS的主要局限性是（）,成本过高,支持5G高频段困难,无法灵活部署,不支持多模传输,,B,无,单选题
180,下列哪个频段属于5G NR的FR2频段（毫米波频段）？（）,3.5 GHz,28 GHz,2.6 GHz,700 MHz,,B,无,单选题
181,5G数字化室分系统的端到端管控不包括以下哪个步骤？（）,实时诊断网络状态,手动调整设备功率,自动优化资源分配,监控网元工作状态,,B,无,单选题
182,5G无线网的关键技术包括以下哪些？（）,大规模天线阵列,超密集组网,新型多址,全频谱接入,,ABCD,无,多选题
183,5G使用毫米波的主要原因有（）,6GHz以下频段资源紧张,毫米波具备大带宽特性,Massive MIMO技术可补偿高频损耗,毫米波传播距离远,,ABC,无,多选题
184,5G室内数字化网络的特征包括（）,小型化一体化,端到端数字化管控,灵活适配业务场景,使能增值业务,,ABCD,无,多选题
185,传统无源DAS方案适用于所有5G室内覆盖场景，尤其是高话务需求场景。（）,,,,,,错误,无,判断题
186,5G数字化室分系统能够实现自动诊断网络故障并愈合，无需人工介入。（）,,,,,,正确,无,判断题
187,毫米波频段中，60GHz附近因氧气共振吸收会导致严重传播损耗，因此该频段无法用于5G通信。（）,,,,,,正确,无,判断题
188,根据理想化的自由空间传播损耗公式，传播损耗L=92.4+20lg2(f)+20log2(R)，其中f的单位是？,MHz,GHz,kHz,Hz,,B,无,单选题
189,毫米波传播距离过小的优势不包括以下哪项？,减少信号干扰,提高天线增益,增强安全性,降低信号截听概率,,B,无,单选题
190,5G毫米波系统中使用massive MIMO技术的前提是？,提高发射功率,减小天线尺寸,增加基站数量,降低载波频率,,B,无,单选题
191,模拟波束赋形的主要限制是？,功耗过高,无法形成灵活波束形状,天线数量有限,频率选择性差,,B,无,单选题
192,混合波束赋形的优势在于？,完全消除干扰,复杂度与灵活性的折中,支持无限天线数量,不需要数字信号处理,,B,无,单选题
193,大规模MIMO技术中，当基站天线数目趋于无穷大时，可忽略的负面影响不包括？,加性高斯白噪声,瑞利衰落,导频污染,多径效应,,C,无,单选题
194,5G毫米波系统的优势包括以下哪些？,减少信号干扰,支持massive MIMO技术,提高频谱利用率,覆盖范围极广,,ABC,无,多选题
195,补偿毫米波传播损耗的方法有哪些？,提高发射功率,提高天线增益,提高接收灵敏度,增加传播距离,,ABC,无,多选题
196,大规模MIMO的关键技术包括？,信道信息获取,天线阵列设计,导频污染抑制,载波频率选择,,ABC,无,多选题
197,毫米波频率越高，天线尺寸越大。,,,,,,错误,无,判断题
198,数字波束赋形可以在发射和接收方向产生特定零陷。,,,,,,正确,无,判断题
199,自回传场景只能使用单路径路由拓扑结构。,,,,,,错误,无,判断题
200,在2G/3G/4G网络中主要采用的双工方式不包括以下哪一种？,频分双工（FDD）,时分双工（TDD）,同时同频全双工（CCFD）,以上都不是,,C,无,单选题
201,同时同频全双工技术从理论上可使空口频谱效率提高多少？,50%,一倍,两倍,三倍,,B,无,单选题
202,以下哪项不是大规模MIMO天线对单元性能的指标要求？,小型化、低剖面,高相关性、低隔离,多频段、高增益,合理的单元间距与阵列布局,,B,无,单选题
203,5G新空口（NR）不包含以下哪个目标场景？,增强型移动宽带（eMBB）,超可靠低时延通信（uRLLC）,大规模机器类通信（mMTC）,卫星通信（SatCom）,,D,无,单选题
204,灵活双工技术主要通过什么方式提高系统资源利用率？,固定分配上下行资源,根据业务变化动态分配上下行资源,仅使用上行资源,仅使用下行资源,,B,无,单选题
205,同时同频全双工需要解决的核心问题是什么？,信号传输距离,自干扰抑制,多用户接入,功率消耗,,B,无,单选题
206,5G网络对双工方式的总体要求包括以下哪些？,支持对称频谱和非对称频谱,支持灵活双工,仅支持FDD双工方式,支持全双工,,ABD,无,多选题
207,大规模MIMO天线对天线设计的基本要求包括以下哪些？,低相关,多分级,窄波瓣,高增益,,ABD,无,多选题
208,同时同频全双工在设备方面抑制自干扰的技术手段包括以下哪些？,空域自干扰抑制,射频域自干扰抑制,数字域自干扰抑制,增大发射功率,,ABC,无,多选题
209,FDD在非对称数据应用、突发数据传输方面具有天然优势。,,,,,,错误,无,判断题
210,同时同频全双工技术目前已全面商用。,,,,,,错误,无,判断题
